title,link,published,summary,source
"Groww leads India's top brokerages in July with over 70,000 new active accounts",https://economictimes.indiatimes.com/markets/stocks/news/groww-leads-indias-top-brokerages-in-july-with-over-70000-new-active-accounts/articleshow/133195517.cms,2026-08-13 06:38:04 IST,"Groww strengthened its brokerage lead in July, adding over seventy thousand active accounts.  This growth contrasts with a general industry slowdown in user additions this year.  Zerodha, the second-largest broker, continued to lose active accounts, shrinking its user base.  Angel One and Upstox Securities also experienced declines in their active client numbers.  HDFC Securities similarly shed active accounts during the month and year.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Godrej Consumer shares tumble on CEO exit, technicals signal more downside",https://economictimes.indiatimes.com/markets/stocks/news/biggest-single-day-fall-in-6-years-for-godrej-consumer/articleshow/133195493.cms,2026-08-13 06:24:10 IST,Godrej Consumer Products shares have experienced a notable drop following the unexpected exit of the chief executive. This abrupt change has raised significant concerns among investors about the future leadership in a volatile market environment. Aasif Malbari has been appointed as the new managing director and chief executive to steer the company.,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Sebi sees no CAS manipulation, eyes more participation",https://economictimes.indiatimes.com/markets/stocks/news/sebi-sees-no-cas-manipulation-eyes-more-participation/articleshow/133195469.cms,2026-08-13 06:11:04 IST,"In a recent statement, Sebi chairman Tuhin Kanta Pandey confirmed that the closing auction sessions showed no manipulation. He linked earlier discrepancies to cautious trading in the newly implemented system. Notably, mutual funds have significantly increased activity in these sessions. Additionally, Sebi is looking into strategies to bolster both participation and liquidity in commodity derivatives, while also striving to ease access for institutional investors within Indian markets.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Federal Bank, IDFC First Bank surge in credit card growth, challenging HDFC Bank",https://economictimes.indiatimes.com/markets/stocks/news/federal-bank-idfc-first-bank-surge-in-credit-card-growth-challenging-hdfc-bank/articleshow/133195449.cms,2026-08-13 06:07:12 IST,"Recent data reveals that Federal Bank and IDFC First Bank have collectively issued over twenty-two lakh new credit cards, almost paralleling HDFC Bank's own expansions. Together, they represent twenty-one percent of the newly released cards, suggesting a noticeable change in the competitive dynamics of the credit card sector as the dominance of the top four issuers appears to be waning.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Stocks in news: UltraTech Cement, Tata Motors PV, Axis Bank, Apollo Hospitals and Ircon",https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-news-ultratech-cement-tata-motors-pv-axis-bank-apollo-hospitals-and-ircon/articleshow/133189372.cms,2026-08-13 06:00:00 IST,"Indian equity markets saw a decline on Wednesday, influenced by Middle East tensions and rising oil prices. Several companies will be in focus today due to corporate developments and first-quarter earnings reports. UltraTech Cement shares are set for a block deal, while Apollo Hospitals reported strong profit growth. Lenskart Solutions and Astral also announced significant profit increases for the first quarter.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Pre-market action: Here's the trade setup for today's session,https://economictimes.indiatimes.com/markets/stocks/news/pre-market-action-heres-the-trade-setup-for-todays-session/articleshow/133188994.cms,2026-08-13 06:00:00 IST,"Indian stock indices closed in the red on August 12, reflecting growing unease in the market. The Nifty 50 lost 35.75 points, closing at 24,435.95. The increase in crude oil costs dampened investor confidence, prompting foreign portfolio investors to offload shares worth Rs 1,002.50 crore. Meanwhile, the Indian rupee remained under pressure, trading around 95.32 against the dollar.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Stock Radar: Leela Palace stock hits fresh record highs in August 2026; time to buy or book profits?,https://economictimes.indiatimes.com/markets/stocks/news/stock-radar-leela-palace-stock-hits-fresh-record-highs-in-august-2026-time-to-buy-or-book-profits/articleshow/133179072.cms,2026-08-13 05:00:00 IST,"Leela Palace Hotels stock broke a bullish pattern, suggesting higher prices ahead. Experts recommend buying the stock for a target of Rs 570. The stock has shown improvement in its price structure and uptrend. Traders can consider a stop loss at Rs 495 for risk management.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Supreme Court rulings set to raise insurers' third-party liability,https://economictimes.indiatimes.com/markets/stocks/news/supreme-court-rulings-set-to-raise-insurers-third-party-liability/articleshow/133195311.cms,2026-08-13 01:04:08 IST,"General insurers face higher motor third-party claim reserves due to Supreme Court rulings. A recent ruling fixes homemakers' notional income, increasing claim payouts. This interpretation is expected to raise claim outgo significantly over eighteen months. Insurers also face policy standardization for occupant and pillion-rider coverage. Motor third-party insurance remains challenging with rising claim costs and slow premium growth.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Southern banks on a golden lending streak; gold-loan books swell 2x,https://economictimes.indiatimes.com/markets/stocks/news/southern-banks-on-a-golden-lending-streak-gold-loan-books-swell-2x/articleshow/133195325.cms,2026-08-13 00:55:23 IST,"South Indian banks have seen their gold-loan portfolios nearly double in three years.  This significant growth is driven by rising gold prices and increased demand for credit.  Federal Bank, CSB Bank, and others experienced substantial portfolio expansions.  CSB Bank recorded the fastest growth, more than doubling its gold loan book.  Gold loans now represent a significant portion of advances for these regional lenders.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Banks to reveal loan rates every month in RBI's disclosure tweak,https://economictimes.indiatimes.com/markets/stocks/news/banks-to-reveal-loan-rates-every-month-in-rbis-disclosure-tweak/articleshow/133195387.cms,2026-08-13 00:24:47 IST,"The Reserve Bank of India has proposed new lending rate guidelines. Regulated entities must declare lending rates monthly and reset floating loans quarterly. Total charges for microfinance and small loans will be capped by the regulator. These new norms aim to harmonize interest rate determination methods. Final guidelines will take effect from April 1, 2027.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"TPG, Temasek sell 13% stake in Dr Agarwals Health Care for Rs 2,008 crore",https://economictimes.indiatimes.com/markets/stocks/news/tpg-temasek-sell-13-stake-in-dr-agarwals-health-care-for-rs-2008-crore/articleshow/133195383.cms,2026-08-12 22:51:51 IST,Global investors TPG and Temasek sold nearly thirteen percent of Dr Agarwals Health Care. They collectively offloaded over four crore equity shares for two thousand eight crore rupees. Several mutual funds and investment firms purchased a significant stake in the eye care chain. This stake sale occurred after the company reported strong quarterly financial results. Dr Agarwals Health Care shares saw a decline following the large block deal.,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
"Bank of America invests around Rs 18,268 crore for 49.9% stake in  Jio Credit",https://economictimes.indiatimes.com/markets/stocks/news/bank-of-america-invests-rs-18268-crore-in-jio-financial-services-jio-credit/articleshow/133195339.cms,2026-08-12 22:23:10 IST,Bank of America will invest up to $1.9 billion in Jio Credit. This significant foreign investment aims to acquire nearly fifty percent of the lending subsidiary. The transaction will provide substantial capital for Jio Credit's expansion plans. It will combine Jio's digital network with Bank of America's financial expertise. This partnership seeks to enhance credit access for all Indians.,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Bank deposits hit decade-high growth as NRI dollar inflows cross $37 billion,https://economictimes.indiatimes.com/markets/stocks/news/bank-deposits-hit-decade-high-growth-as-nri-dollar-inflows-cross-37-billion/articleshow/133195343.cms,2026-08-12 22:00:47 IST,Bank deposits saw their fastest growth in nearly ten years by July. Overseas Indians deposited about $37 billion in foreign currency accounts. Bank credit growth also accelerated to its fastest pace since June 2024. This surge was driven by corporate demand and MSME lending programs. India garnered nearly $41 billion in total inflows by July 31.,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Banks continue to garner FCNR deposits at a brisk pace,https://economictimes.indiatimes.com/markets/stocks/news/banks-continue-to-garner-fcnr-deposits-at-a-brisk-pace/articleshow/133195354.cms,2026-08-12 16:23:09 IST,"Indian banks are attracting foreign currency deposits at a brisk pace.  Indian Bank and Central Bank of India have garnered substantial foreign currency deposits.  The Reserve Bank of India's special measures have brought in significant foreign exchange inflows.  These measures are largely driven by FCNR(B) deposits, exceeding previous years' collections.  Banks can swap these deposits with the RBI under a zero-cost hedging facility.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Breakout stocks to buy or sell: Sumeet Bagadia recommends five shares to buy today — 13 August 2026,https://www.livemint.com/market/stock-market-news/breakout-stocks-to-buy-or-sell-sumeet-bagadia-recommends-five-shares-to-buy-today-13-august-2026-11786581785457.html,2026-08-13 06:29:43 IST,"Breakout stocks to buy or sell: Sumeet Bagadia recommends five breakout stocks to buy today — Berger Paints India, Electronics Mart India, Indo Borax and Chemicals, KRN Heat Exchanger and Refrigeration, and HFCL.",https://www.livemint.com/rss/markets
Korean Stocks Rise 22% in 10 Days as Chip Rally Regains Steam,https://www.livemint.com/market/korean-stocks-rise-22-in-10-days-as-chip-rally-regains-steam-11786582341676.html,2026-08-13 06:22:21 IST,"South Korean stocks climbed, putting the benchmark index on track to enter a technical bull market, as a global rebound in the AI trade fueled a rapid reversal from last month’s historic rout.",https://www.livemint.com/rss/markets
Stock recommendations for 13 August from MarketSmith India,https://www.livemint.com/market/stock-market-news/stock-recommendations-for-13-august-from-marketsmith-india-11786536328947.html,2026-08-13 06:00:40 IST,"MarketSmith India reveals its top stock recommendations for today, 13 August. Get expert insights into the best-performing stocks to guide your investment decisions.",https://www.livemint.com/rss/markets
Raja Venkatraman recommends three stocks for 13 August,https://www.livemint.com/market/stock-market-news/raja-venkatraman-recommends-three-stocks-for-13-august-11786553932696.html,2026-08-13 06:00:40 IST,Market expert Raja Venkatraman shares his top stock picks for 13 August. Here’s his technical outlook and trade strategy.,https://www.livemint.com/rss/markets
Buyout funds look beyond India IPOs as vintage assets mature,https://www.livemint.com/market/buyout-funds-look-beyond-india-ipos-as-vintage-assets-mature-11786471171774.html,2026-08-13 06:00:20 IST,"Indian PE funds holding mature, older-vintage assets are turning to secondary sales, sponsor-to-sponsor buyouts and continuation vehicles as IPO-led exits fall 47% and limited partner pressure to improve distributed-to-paid-in capital mounts.",https://www.livemint.com/rss/markets
"Govt views Chandra's exit as internal Tata Sons issue, sees no reason to step in",https://www.livemint.com/companies/news/govt-views-chandras-exit-as-internal-tata-sons-issue-sees-no-reason-to-step-in-11786542824899.html,2026-08-13 06:00:20 IST,"The government’s position is that it would consider stepping in only if the Tata Group or relevant stakeholders formally seek its involvement. As a matter of policy, the government generally refrains from intervening in the internal governance of private companies.",https://www.livemint.com/rss/companies
When silence isn't golden: The rift that ended N Chandrasekaran's Tata tenure,https://www.livemint.com/companies/news/when-silence-isnt-golden-the-rift-that-ended-n-chandrasekarans-tata-tenure-11786541887594.html,2026-08-13 06:00:00 IST,"N Chandrasekaran's resignation as Tata Sons chairman reveals a breakdown in communication, highlighting complications with board decisions and unresolved leadership gaps. It raises fundamental questions about trust and governance in a complex corporate landscape.",https://www.livemint.com/rss/companies
Chandrasekaran’s decision to step down underlines a lack of succession planning at Tata Sons,https://www.livemint.com/companies/news/chandrasekarans-decision-to-step-down-underlines-a-lack-of-succession-planning-at-tata-sons-11786533165565.html,2026-08-13 05:35:20 IST,"On Tuesday, Godrej Consumer Products CEO Sudhir Sitapati resigned after the Godrej board granted him a second five-year term and shareholders approved the decision on 7 August. Global chief financial officer Aasif Malbari was appointed in his place on the same day.",https://www.livemint.com/rss/companies
"Karnataka bandh today: Are banks open or closed in Bengaluru on Thursday, August 13?",https://www.livemint.com/money/personal-finance/karnataka-bandh-today-are-banks-open-or-closed-in-bengaluru-on-thursday-august-13-11786552139403.html,2026-08-13 05:07:45 IST,Essential services will remain open during the statewide bandh in Karnataka on Thursday.,https://www.livemint.com/rss/money
