title,link,published,summary,source
North Korean hackers allegedly stole record $2.02 billion of cryptocurrency in 2025. Here's how they did it,https://www.livemint.com/market/cryptocurrency/north-korean-hackers-allegedly-stole-record-2-02-billion-cryptocurrency-in-2025-how-11766281879521.html,2025-12-21 08:28:29 IST,"North Korean hackers reportedly stole a record over $2 billion of crypto this year, Chainalysis researchers said, noted a 51% jump compared to 2024. Here's how they managed to pull off these heists",https://www.livemint.com/rss/markets
IIP data to Rupee rate: Top five triggers for Indian stock market this week,https://www.livemint.com/market/stock-market-news/iip-data-to-rupee-rate-top-five-triggers-for-indian-stock-market-this-week-11766283283874.html,2025-12-21 07:58:54 IST,"Top five stock market triggers next week: India's IIP data, India-US trade deal, Rupee outlook, FII activity and gold prices are the top five triggers for the Indian stock market.",https://www.livemint.com/rss/markets
Meesho to Ather Energy: Only 4 IPOs emerge multibaggers in a record year for primary market. Do you own any?,https://www.livemint.com/market/ipo/meesho-to-ather-energy-only-4-ipos-emerge-multibaggers-in-a-record-year-for-primary-market-do-you-own-any-11766229966628.html,2025-12-21 07:34:39 IST,"Meesho, Tata Capital, HDB Financial Services, Ather Energy, Urban Company, Groww, NSDL, ICICI Prudential and BlueStone Jewellery have been some of the marquee names to tap the IPO market for fundraising.",https://www.livemint.com/rss/markets
Can Dhurandhar turn out to be Secret Santa goodie for PVR Inox shareholders?,https://www.livemint.com/market/stock-market-news/can-dhurandhar-turn-out-to-be-secret-santa-goodie-for-pvr-inox-shareholders-11766236031228.html,2025-12-21 07:33:59 IST,Dhurandhar has turned the tables in favour of PVR-INOX. PL Capital said that earnings revision for PVR Inox is around the corner for FY26E.,https://www.livemint.com/rss/markets
"Defence, aerospace firms have designs on niche engineers from IITs, competing with Big Tech",https://www.livemint.com/companies/iit-placements-defence-aerospace-companies-hiring-11766050243067.html,2025-12-21 07:01:08 IST,"Skyroot Aerospace and Larsen &amp;amp; Toubro are among companies seeking skilled talent across IITs, cashing in on a rising surge of business in the privatized defence, aerospace and space technologies sectors.&amp;nbsp;",https://www.livemint.com/rss/companies
IndiGo crisis rekindles questions over DGCA’s revolving-door leadership,https://www.livemint.com/companies/news/indigo-meltdown-dgca-bureaucrats-aviation-safety-india-expert-call-changes-11766115013964.html,2025-12-21 07:00:48 IST,"While the Indigo cancellations seems to have been a case of mismanagement by the airline, the role of ministry of civil aviation and DGCA came under the lens for lapses.",https://www.livemint.com/rss/companies
"Christmas lull or breakout ahead? BSE rejig, rupee among 8 factors to impact D-Street this week",https://economictimes.indiatimes.com/markets/stocks/news/christmas-lull-or-breakout-ahead-from-bse-rejig-to-rupee-among-8-factors-to-impact-d-street-this-week/articleshow/126101256.cms,2025-12-21 09:48:33 IST,"Nifty snapped its four-session losing streak on Friday but still closed the week with a decline of 0.3%. Trading activity is expected to remain subdued across major global markets due to the extended Christmas holiday, even as Indian markets will be shut for just one day on Thursday, December 25.",https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
World’s calmest stock market challenges options traders in India,https://economictimes.indiatimes.com/markets/stocks/news/worlds-calmest-stock-market-challenges-options-traders-in-india/articleshow/126101173.cms,2025-12-21 09:38:06 IST,India’s stock market has become one of the calmest in the world — so calm that it’s prompting a rethink of strategies among players in the country’s vast derivatives space.,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Buy or sell: Ganesh Dongre of Anand Rathi recommends three stocks to buy on Monday - 22 December 2025,https://www.livemint.com/market/stock-market-news/buy-or-sell-ganesh-dongre-of-anand-rathi-recommends-three-stocks-to-buy-on-monday-22-december-2025-11766290194079.html,2025-12-21 09:56:03 IST,"Ganesh Dongre of Anand Rathi recommends three stocks to buy on Monday - Aurobindo Pharma, IndusInd Bank, and Bharat Forge.",https://www.livemint.com/rss/markets
"Elon Musk is richer than Larry Page, Larry Ellison &amp; Jeff Bezos combined as worth surges past $740 billion — Here's how",https://www.livemint.com/companies/people/elon-musk-net-worth-749-billion-richer-larry-page-jeff-bezos-larry-ellison-combined-tesla-2018-pay-package-ruling-spacex-11766287903781.html,2025-12-21 09:46:00 IST,"The world's richest man Elon Musk has become the first person ever worth over $700 billion, richer than Larry Page, Larry Ellison and Jeff Bezos combined. Here's a look at how his net worth surged, and the source of his wealth…",https://www.livemint.com/rss/companies
These 11 penny stocks surged up to 55% in just a month. Do you own any?,https://economictimes.indiatimes.com/markets/stocks/news/these-11-penny-stocks-surged-up-to-55-in-just-a-month-do-you-own-any/slideshow/126101482.cms,2025-12-21 09:57:31 IST,,https://economictimes.indiatimes.com/markets/stocks/rssfeeds/2146843.cms
Stocks to buy under  ₹100: Sumeet Bagadia recommends three stocks to buy on Monday - 22 December 2025,https://www.livemint.com/market/stock-market-news/stocks-to-buy-under-100-sumeet-bagadia-recommends-three-stocks-to-buy-on-monday-22-december-2025-11766291205877.html,2025-12-21 10:31:33 IST,"Sumeet Bagadia has recommended three stocks to buy on Monday, December 22. The three stock picks by Bagadia are - Asian Granito India, Lloyds Enterprises, and Jayaswal Neco Industries.",https://www.livemint.com/rss/markets
